UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
100654,"Alabama A & M University","AAMU","4900 Meridian Street","Normal","AL","35762", 1, 5,"Dr. Daniel K. Wims","President","2563725000","636001109","JDVGS67MSLH7","00100200",1,"www.aamu.edu/","https://www.aamu.edu/admissions-aid/index.html","https://www.aamu.edu/admissions-aid/financial-aid/","https://www.aamu.edu/admissions-aid/undergraduate-admissions/apply-today.html","www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html"," "," ","https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx",1,1,1,9,1,1,12,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,2,18,16,18,10,4,14,18,18,18,16,1,3,2,"-2","-2",26620,1,290,1089,"Madison County",105,-86.568502,34.783368,107,1
100663,"University of Alabama at Birmingham","UAB","Administration Bldg Suite 1070","Birmingham","AL","35294-0110", 1, 5,"Ray L. Watts","President","2059344011","636005396","YND4PLMC9AN7","00105200",1,"https://www.uab.edu/","https://www.uab.edu/admissions/","https://www.uab.edu/cost-aid/","https://www.uab.edu/admissions/apply","https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students","https://www.uab.edu/students/veterans","https://www.uab.edu/registrar/students","https://www.uab.edu/students/disability/",1,1,1,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,2,15,14,14,9,5,15,15,15,15,15,2,5,1,"The University of Alabama System","101050",13820,1,142,1073,"Jefferson County",107,-86.799345,33.505697,92,1
100690,"Amridge University","Southern Christian University  Regions University","1200 Taylor Rd","Montgomery","AL","36117-3553", 1, 5,"Michael C.Turner","President","33438738777550","237034324","RB27R4GLDKE7","02503400",1,"https://www.amridgeuniversity.edu/","https://www.amridgeuniversity.edu/admissions/","https://www.amridgeuniversity.edu/financialaid/","https://www.amridgeuniversity.edu/myamridge/","https://www2.amridgeuniversity.edu:9091/","https://www.amridgeuniversity.edu/admissions/military/"," ","https://www.amridgeuniversity.edu/studentservices/",2,1,2,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,2,20,20,18,5,6,6,20,20,21,51,2,1,2,"-2","-2",33860,1,388,1101,"Montgomery County",102,-86.174010,32.362609,125,2
100706,"University of Alabama in Huntsville","UAH  University of Alabama Huntsville","301 Sparkman Dr","Huntsville","AL","35899", 1, 5,"Chuck Karr","President","2568246120","630520830","HB6KNGVNJRU1","00105500",1,"www.uah.edu/","https://www.uah.edu/admissions","finaid.uah.edu/","register.uah.edu/","finaid.uah.edu/","www.uah.edu/admissions/graduate/financial-aid/veterans","www.uah.edu/heoa","www.uah.edu/health-and-wellness/disability-support",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,2,15,17,17,15,4,13,16,16,15,16,2,3,1,"The University of Alabama System","101050",26620,1,290,1089,"Madison County",105,-86.640449,34.724557,92,2
100724,"Alabama State University"," ","915 S Jackson Street","Montgomery","AL","36104-0271", 1, 5,"Quinton T. Ross","President","3342294100","636001101","DLJWLMSNK627","00100500",1,"www.alasu.edu/","www.alasu.edu/admissions/index.aspx","www.alasu.edu/undergraduate/expensesandfinancialaid/expenses-and-financial-aid","www.alasu.edu/admissions/undergrad-admissions/index.aspx","www.alasu.edu/cost-aid/tuition-costs/net-price-calculator"," ","https://www.alasu.edu/administration/consumer-information","www.alasu.edu/academics/researchcenters/alabama-alliance-students-disabilities",1,1,1,9,1,1,11,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,2,17,13,18,10,3,14,19,19,18,21,2,2,2,"-2","-2",33860,1,388,1101,"Montgomery County",107,-86.295677,32.364317,98,1
100733,"University of Alabama System Office"," ","500 University Blvd. East","Tuscaloosa","AL","35401", 1, 5,"Finis St. John IV","Chancellor","2053485122","636001138"," ","00800400",2,"www.uasystem.edu/"," "," "," "," "," "," ","www.uasystem.edu/",0,1,1,9,1,1,11,1,2,-2,-2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,"The University of Alabama System","101050",46220,1,-2,1125,"Tuscaloosa County",107,-87.529594,33.207015,-2,-2
100751,"The University of Alabama"," ","739 University Blvd","Tuscaloosa","AL","35487-0100", 1, 5,"Dr. Stuart R. Bell","President","2053486010","636001138","RCNJEHZ83EV6","00105100",1,"www.ua.edu/","gobama.ua.edu/","financialaid.ua.edu/","apply.ua.edu/","financialaid.ua.edu/net-price-calculator/","https://vets.sa.ua.edu/","registrar.ua.edu/academics-policies/student-right-to-know/","ods.ua.edu/",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,2,15,17,15,12,4,16,15,16,16,15,2,5,1,"The University of Alabama System","101050",46220,1,-2,1125,"Tuscaloosa County",107,-87.545978,33.211875,91,1
100760,"Central Alabama Community College"," ","1675 Cherokee Rd","Alexander City","AL","35010", 1, 5,"Jeff Lynn","President","2562346346","631022757","G1C3X4MHV2N1","00100700",1,"www.cacc.edu/","https://www.cacc.edu/admissions/","https://www.cacc.edu/financial-aid/","https://www.cacc.edu/admissions/apply/","https://www.cacc.edu/net-price-calculator/","https://www.cacc.edu/financial-aid/veterans/","https://www.cacc.edu/about/consumer-information/","https://www.cacc.edu/services/other-services/disability-services/",4,2,1,3,1,2,40,1,2,-2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,4,5,2,0,1,1,2,2,1,2,40,2,2,1,"Alabama Community College System","101030",10760,2,388,1123,"Tallapoosa County",103,-85.945266,32.924780,73,2
100812,"Athens State University"," ","300 N Beaty St","Athens","AL","35611", 1, 5,"Dr. Catherine Wehlburg","Interim President","2562338100","630701340","GFZJMKWMF9K7","00100800",1,"www.athens.edu/","www.athens.edu/admissions/","www.athens.edu/financial-aid/","www.athens.edu/apply"," "," "," ","www.athens.edu/digital-communications/accessibility/",1,1,1,7,1,1,20,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1,2,22,16,6,5,3,9,22,22,22,32,2,2,2,"-2","-2",26620,1,290,1083,"Limestone County",105,-86.964698,34.806793,134,1
100830,"Auburn University at Montgomery","AUM||Auburn University at Montgomery|Auburn Montgomery","7440 East Drive","Montgomery","AL","36117-3596", 1, 5,"Carl A. Stockton","Chancellor","3342443000","636000724","S2Y7SMVZ1R96","00831000",1,"www.aum.edu/","www.aum.edu/admissions","www.aum.edu/admissions/scholarships-and-financial-aid/financial-aid","www.aum.edu/apply#apply-now-back-btn-row","www.aum.edu/current-students/financial-information/net-price-calculator","www.aum.edu/admissions/financial-affairs/financial-aid/veteran-services","www.aum.edu/academics/institutional-effectiveness/consumer-information","www.aum.edu/campus-life/student-affairs/center-for-disability-services",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,2,18,16,4,7,4,13,18,18,18,21,2,3,1,"Auburn University","101040",33860,1,388,1101,"Montgomery County",102,-86.177544,32.367360,107,1
100858,"Auburn University"," "," ","Auburn","AL","36849", 1, 5,"Chris Roberts","President","3348444000","636000724","DMQNDJDHTDG4","00100900",1,"www.auburn.edu/","www.auburn.edu/admissions/","www.auburn.edu/administration/business-finance/finaid/","www.auburn.edu/admissions/","https://www.auburn.edu/admissions/costcalc/freshman.html","veterans.auburn.edu/","https://auburn.edu/administration/ir/factbook/retention-performance/athlete-graduation-rates.html","cws.auburn.edu/accessibility",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,2,15,17,14,14,4,15,15,16,16,15,1,5,1,"Auburn University","101040",12220,1,194,1081,"Lee County",103,-85.488258,32.599378,91,1
