year,instnm,stabbr,control,hgroup,highdeg,igrnt_low_inc,sgrnt_low_inc
2015,"University of Alaska Anchorage","AK",1,"Other RU Public",4,3527.888,5126.689
2015,"University of Alaska Southeast","AK",1,"Other RU Public",4,3371.517,3182.448
2015,"University of Alaska Fairbanks","AK",1,"HRA Public",4,6791.518,9233.675
2015,"University of South Alabama","AL",1,"HRA Public",4,6839.169,129.9652
2015,"Auburn University-Montgomery","AL",1,"Other RU Public",4,2955.426,39.06705
2015,"Alabama State University","AL",1,"Other RU Public",4,3106.022,906.5012
2015,"Alabama A & M University","AL",1,"Other RU Public",4,5084.938,13.67144
2015,"University of Alabama in Huntsville","AL",1,"Non-AAU VHRA Public",4,27176.35,84.00521
2015,"Auburn University Main Campus","AL",1,"HRA Public",4,33311.48,135.4985
2015,"University of West Alabama","AL",1,"Other RU Public",4,4430.479,41.81818
2015,"Troy University","AL",1,"Other RU Public",4,9872.854,0
2015,"The University of Alabama","AL",1,"HRA Public",4,44633.03,29.88959
2015,"Jacksonville State University","AL",1,"Other RU Public",4,9756.532,930.5381
2015,"University of Alabama at Birmingham","AL",1,"Non-AAU VHRA Public",4,13224.76,33.13476
2015,"University of Montevallo","AL",1,"Other RU Public",4,12979.11,20.68966
2015,"University of North Alabama","AL",1,"Other RU Public",4,6548.51,7.589286
2015,"Arizona State University","AZ",1,"Non-AAU VHRA Public",4,28118.65,55.43509
2015,"Arizona State University at the West Campus","AZ",1,"Other RU Public",4,14996.91,55.13514
2015,"Northern Arizona University","AZ",1,"HRA Public",4,13701.94,425.4843
2015,"Arizona State University at the Downtown Phoenix Campus","AZ",1,"Other RU Public",4,21529.15,65.32584
2015,"Arizona State University at the Polytechnic Campus","AZ",1,"Other RU Public",4,19897.53,77.7907
2015,"University of Arizona","AZ",1,"AAU Public",4,20377.74,33.64918
2015,"California State University-Sacramento","CA",1,"Other RU Public",4,4685.395,2996.864
2015,"California State University-Los Angeles","CA",1,"Other RU Public",4,4943.187,2017.489
2015,"University of California-San Diego","CA",1,"AAU Public",4,11193.69,13285.12
2015,"California State University-Fullerton","CA",1,"Other RU Public",4,4399.544,3494.123
2015,"Sonoma State University","CA",1,"Other RU Public",4,5150.176,3379.956
2015,"University of California-Los Angeles","CA",1,"AAU Public",4,17725,12386.26
2015,"California State University-San Bernardino","CA",1,"Other RU Public",4,4711.131,2183.911
2015,"California State University-Stanislaus","CA",1,"Other RU Public",4,4872.075,3049.058
2015,"University of California-Davis","CA",1,"AAU Public",4,13850.47,12848.89
2015,"University of California-Irvine","CA",1,"AAU Public",4,9460.538,13888.93
2015,"California Polytechnic State University-San Luis Obispo","CA",1,"Other RU Public",4,8756.285,7142.356
2015,"California State University-East Bay","CA",1,"Other RU Public",4,5030.222,2359.25
2015,"San Francisco State University","CA",1,"Other RU Public",4,4994.817,2702.257
2015,"University of California-Riverside","CA",1,"Non-AAU VHRA Public",4,14384.73,12063.89
2015,"University of California-Merced","CA",1,"Other RU Public",4,12658.97,12683
2015,"University of California-Santa Cruz","CA",1,"Non-AAU VHRA Public",4,13821.8,12699.7
2015,"California State University-Channel Islands","CA",1,"Other RU Public",4,4964.678,2439.026
2015,"California State University-Fresno","CA",1,"Other RU Public",4,4910.897,2938.295
2015,"California State University-Northridge","CA",1,"Other RU Public",4,5290.532,2321.474
2015,"San Jose State University","CA",1,"Other RU Public",4,4699.098,3303.796
2015,"University of California-Santa Barbara","CA",1,"AAU Public",4,15248,13118.22
2015,"Humboldt State University","CA",1,"Other RU Public",4,5082.632,3184.549
2015,"University of California-Berkeley","CA",1,"AAU Public",4,22477.96,12904.69
2015,"California State University-Chico","CA",1,"Other RU Public",4,4829.011,2976.809
2015,"California Maritime Academy","CA",1,"Other RU Public",4,5986.437,4249.854
2015,"California State University-Dominguez Hills","CA",1,"Other RU Public",4,5174.605,1806.915
2015,"California State University-San Marcos","CA",1,"Other RU Public",4,4442.666,2797.326
2015,"California State University-Bakersfield","CA",1,"Other RU Public",4,5288.367,2306.457
2015,"California State University-Monterey Bay","CA",1,"Other RU Public",4,5167.29,2511.388
2015,"California State Polytechnic University-Pomona","CA",1,"Other RU Public",4,4346.484,3452.216
2015,"San Diego State University","CA",1,"HRA Public",4,5157.989,4462.852
2015,"California State University-Long Beach","CA",1,"Other RU Public",4,4406.744,3003.628
2015,"University of Northern Colorado","CO",1,"Other RU Public",4,9581.496,2625.67
2015,"University of Colorado at Boulder","CO",1,"AAU Public",4,20471.21,1049.43
2015,"Western State College of Colorado","CO",1,"Other RU Public",4,10985.57,1763.053
2015,"Adams State College","CO",1,"Other RU Public",4,4701.374,2348.678
2015,"Colorado School of Mines","CO",1,"HRA Public",4,47637.76,1860.271
2015,"Colorado State University-Pueblo","CO",1,"Other RU Public",4,5088.261,2003.97
2015,"Metropolitan State College of Denver","CO",1,"Other RU Public",4,1475.673,1717.447
2015,"Fort Lewis College","CO",1,"Other RU Public",3,7524.21,13922.61
2015,"University of Colorado at Colorado Springs","CO",1,"Other RU Public",4,3707.261,1285.559
2015,"Colorado State University","CO",1,"Non-AAU VHRA Public",4,12516.75,3034.613
