opeid,acceptrate,Y_lo_inc_rpy,lo_inc_debt_mdn,instnm,stabbr,hgroup,upgrntn,all_under,netprice4lowincome,spend_ugd_4yr_low,X_aid_bysticker,sgrnt_low_inc,igrnt_low_inc,sandigrnt_low_inc,instatetuition,xstring,ystring,markerlabel
00108300,.78001291,57.2512,12417.21829470457,University of Arizona,AZ,1,38338,123168,10023.842,453.64331,5.5465002,438.66541,19437.52,19876.184,9157.4658,6,57,"6, 57"
00131200,.21463495,74.3373,13589.40370172468,University of California-Berkeley,CA,1,34044,102729,8687.9189,4156.2896,54.245499,9742.2266,18634.254,28376.48,12355.844,54,74,"54, 74"
00131300,.52571076,78.4337,11037.52737307073,University of California-Davis,CA,1,40890,100000,9588.9912,4156.2896,54.245499,10214.982,12932.192,23147.176,12355.844,54,78,"54, 78"
00131400,.48722422,73.6202,12486.75471715491,University of California-Irvine,CA,1,33168,88422,8842.1025,4156.2896,54.245499,11045.709,8817.9688,19863.678,12355.844,54,74,"54, 74"
00131500,.22840698,72.95190000000001,12445.91586587455,University of California-Los Angeles,CA,1,38353,107989,9170.3242,4156.2896,54.245499,9523.4629,14774.936,24298.398,12355.844,54,73,"54, 73"
00131700,.39879709,78.24640000000001,15636.8650294293,University of California-San Diego,CA,1,40576,92528,9352.5732,4156.2896,54.245499,10553.268,8784.1836,19337.449,12355.844,54,78,"54, 78"
00132000,.49248025,67.2012,13581.12555619488,University of California-Santa Barbara,CA,1,27080,76579,9438.2207,4156.2896,54.245499,9699.9619,12994.066,22694.027,12355.844,54,67,"54, 67"
00137000,.84044987,63.64680000000001,12141.2801103778,University of Colorado at Boulder,CO,1,18112,106338,13676.753,1039.1569,15.3256,1151.2173,14198.818,15350.035,9351.2383,15,64,"15, 64"
00153500,.42697108,63.0356,11661.14766964922,University of Florida,FL,1,40392,131662,5882.25,330.38538,8.3262997,10871.333,3975.1626,14846.495,5647.7734,8,63,"8, 63"
00156900,.60908562,75.60980000000001,14348.78558499195,Georgia Institute of Technology-Main Campus,GA,1,10136,55740,3554.2925,2.182507,.045499999,31988.313,11996.699,43985.016,8752.8438,0,76,"0, 76"
00177500,.65444988,66.55210000000001,15623.61999658161,University of Illinois at Urbana-Champaign,IL,1,25161,127554,8025.5625,2940.9346,27.0714,8263.2734,13103.286,21366.559,15008.382,27,67,"27, 67"
00180900,.72627306,57.0114,15959.16082872296,Indiana University-Bloomington,IN,1,24748,129771,4504.875,2259.4639,29.740101,5272.7847,20425.508,25698.293,9905.6797,30,57,"30, 57"
00182500,.73145187,68.5154,12325.60681750808,Purdue University-Main Campus,IN,1,26987,127945,7381.4946,2259.4639,29.740101,4000.5972,12587.655,16588.252,9905.6797,30,69,"30, 69"
00186900,.87281853,60.41670000000001,16269.86722427491,Iowa State University,IA,1,22459,95521,9268.7676,127.75856,1.7579,714.63538,17679.898,18394.533,7847.0625,2,60,"2, 60"
00189200,.83021247,57.5044,14072.84740066518,University of Iowa,IA,1,15916,85313,10136.389,127.75856,1.7579,798.13647,23013.889,23812.025,7847.0625,2,58,"2, 58"
00194800,.91753805,55.709,10485.65100441719,University of Kansas,KS,1,17156,80273,13056.564,378.86761,5.9173999,656.82056,12608.79,13265.611,8743.5508,6,56,"6, 56"
00210300,.41897568,70.78880000000001,12693.15647903134,University of Maryland-College Park,MD,1,19987,106828,7188.7793,1177.8792,15.4445,4739.999,23690.695,28430.691,9080.1113,15,71,"15, 71"
00229000,.72423702,56.1845,17660.04379691316,Michigan State University,MI,1,35778,146122,6417.4805,329.11075,3.2277,1529.6069,11627.346,13156.952,13177.202,3,56,"3, 56"
00232500,.49958286,68.27340000000001,16422.73697839193,University of Michigan-Ann Arbor,MI,1,17233,108621,5615.0225,329.11075,3.2277,602.33313,32927.473,33529.805,13177.202,3,68,"3, 68"
00251600,.83008206,62.6499,11589.40374172426,University of Missouri-Columbia,MO,1,21621,101585,12806.234,743.11127,10.1147,2234.665,16093.43,18328.094,9404.6475,10,63,"10, 63"
00262900,.61479878,58.3367,14348.78558499195,Rutgers University-New Brunswick,NJ,1,35942,122307,13824.605,4222.835,39.041599,7626.3501,9036.5039,16662.854,13420.756,39,58,"39, 58"
00283700,.51900524,60.8015,14569.53613245336,University at Buffalo,NY,1,22773,77613,10057.887,2594.8862,43.5452,4782.0488,5921.7246,10703.773,7657.9912,44,61,"44, 61"
00283800,.39916745,71.2029,13796.90921633841,Stony Brook University,NY,1,22434,64132,8030.1753,2594.8862,43.5452,5026.6895,3598.4646,8625.1543,7657.9912,44,71,"44, 71"
00297400,.33955345,75.54740000000001,9519.867359273503,University of North Carolina at Chapel Hill,NC,1,14547,73493,4904.8618,3182.6431,59.5033,4674.7769,19387.619,24062.395,7188.5332,60,76,"60, 76"
00309000,.64885139,47.9304,11589.40374172426,Ohio State University-Main Campus,OH,1,40270,169404,12151.066,398.75909,4.6127,944.61017,25252.766,26197.377,10100.568,5,48,"5, 48"
00322300,.85266101,50.4668,11589.40374172426,University of Oregon,OR,1,19887,79469,10845.086,752.82281,9.9965,994.13635,10928.708,11922.844,8985.7266,10,50,"10, 50"
00337900,.55436307,61.00080000000001,17844.37050404344,University of Pittsburgh-Pittsburgh Campus,PA,1,13023,73258,19457.66,2797.1104,24.608101,4093.3955,26845.117,30938.512,16535.955,25,61,"25, 61"
00363200,.66911924,75.063,13796.90921633841,Texas A & M University,TX,1,33470,157927,4379.8486,2622.6079,38.728699,7226.6016,12742.911,19969.512,9525.2881,39,75,"39, 75"
